GENDER,TOTAL,%_TOTAL,CCCLastUpdated
Gender Defined by Agent,96,0.004,11/13/2023
Female,8040,0.356,11/13/2023
Decline to Answer,183,0.008,11/13/2023
Male,14248,0.631,11/13/2023
