DBE,TOTAL,%_TOTAL,CCCLastUpdated
Minority-Owned Business,156,0.529,11/13/2023
Veteran-Owned Business,26,0.088,11/13/2023
Woman-Owned Business,96,0.325,11/13/2023
LGBTQ+ -Owned Business,13,0.044,11/13/2023
Disability-Owned Business,4,0.014,11/13/2023
